1061,Hospital Infanta Sofía,2126286
1102,Abrantes,1460425
1103,Pan Bendito,1037919
1104,San Francisco,1560021
1105,Carabanchel Alto,1675695
1106,La Peseta,1723013
1107,La Fortuna,962413
1202,Parque de Lisboa,1517619
1203,Alcorcón Central,2712776
1204,Parque Oeste,1485319
1205,Universidad Rey Juan Carlos,1979209
1206,Móstoles Central,4526089
1207,Pradillo,2699234
1208,Hospital de Móstoles,2504554
1209,Manuela Malasaña,1579557
1210,Loranca,2668317
1212,Hospital de Fuenlabrada,2652435
1213,Parque Europa,1999808
1214,Fuenlabrada Central,4612880
1215,Parque de los Estados,2324222
1217,Arroyo Culebro,660994
1218,Conservatorio,1485650
1219,Alonso de Mendoza,1808496
1220,Getafe Central,6109136
1221,Juan de la Cierva,3719982
1222,El Casar,2240337
1223,Los Espartales,1064785
1224,El Bercial,994610
1225,El Carrascal,2708882
1226,Julián Besteiro,1883214
1227,Casa del Reloj,1766713
1228,Hospital Severo Ochoa,1288138
1229,Leganés Central,2916391
1230,San Nicasio,1758071
